STATE,Tampering computer source documents2012,Loss/Damage to computer resource/utility2012,Hacking2012,Obscene publication/transmission in electronic form2012,Faliure : Of compliance/Orders of Certifying Authority2012,Faliure : To assist in decrypting the information intercepted by Govt. Agency2012,Un-authorised access/attempt to access of protected Computer System2012,Publishing false digital Signature Certificate2012,Fraud Digital Signature Certificate2012,Breach of confidentiality/privacy2012,Other2012,Tampering computer source documents2013,Loss/Damage to computer resource/utility2013,Hacking2013,Obscene publication/transmission in electronic form2013,Faliure : Of compliance/Orders of Certifying Authority2013,Faliure : To assist in decrypting the information intercepted by Govt. Agency2013,Un-authorised access/attempt to access of protected Computer System2013,Publishing false digital Signature Certificate2013,Fraud Digital Signature Certificate2013,Breach of confidentiality/privacy2013,Other2013,Tampering computer source documents,Loss/Damage to computer resource/utility,Hacking,Obscene publication/transmission in electronic form,Faliure : Of compliance/Orders of Certifying Authority,Faliure : To assist in decrypting the information intercepted by Govt. Agency,Un-authorised access/attempt to access of protected Computer System,Publishing false digital Signature Certificate,Fraud Digital Signature Certificate,Breach of confidentiality/privacy,Other
ANDHRA PRADESH,30,330,16,234,0,0,0,2,13,10,0,6,292,94,28,0,0,0,0,0,9,0,36,622,110,262,0,0,0,2,13,19,0
ARUNACHAL PRADESH,0,7,0,3,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0
ASSAM,0,42,0,111,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,70,0,111,0,0,0,0,1,0,0
BIHAR,0,19,0,3,0,0,1,0,0,0,0,2,1,15,5,0,0,0,0,0,0,0,2,20,15,8,0,0,1,0,0,0,0
CHHATTISGARH,0,78,7,3,0,0,0,0,3,0,0,0,24,8,16,0,0,0,0,0,1,0,0,102,15,19,0,0,0,0,3,1,0
GOA,4,18,16,16,1,0,2,0,0,0,0,1,0,17,12,0,0,0,0,0,0,0,5,18,33,28,1,0,2,0,0,0,0
GUJARAT,13,20,19,7,0,0,0,0,0,0,0,20,23,8,12,1,0,0,0,2,1,0,33,43,27,19,1,0,0,0,2,1,0
HARYANA,4,90,4,13,1,0,0,0,0,0,0,1,50,2,12,0,0,0,0,0,1,0,5,140,6,25,1,0,0,0,0,1,0
HIMACHAL PRADESH,0,5,1,18,0,0,0,0,0,0,0,1,11,0,8,0,0,0,0,0,0,0,1,16,1,26,0,0,0,0,0,0,0
JAMMU & KASHMIR,0,5,16,8,0,0,0,0,0,0,17,0,25,0,8,0,0,0,0,0,0,2,0,30,16,16,0,0,0,0,0,0,19
JHARKHAND,0,8,0,2,0,0,0,0,2,1,0,1,4,1,4,0,0,0,0,0,0,0,1,12,1,6,0,0,0,0,2,1,0
KARNATAKA,8,247,182,48,0,0,1,0,16,10,0,3,219,148,32,4,0,1,0,3,2,0,11,466,330,80,4,0,2,0,19,12,0
KERALA,19,73,56,177,3,1,0,0,2,17,0,4,59,39,147,0,1,1,0,2,16,0,23,132,95,324,3,2,1,0,4,33,0
MADHYA PRADESH,1,226,14,41,0,0,0,0,0,0,0,7,89,5,39,0,1,0,0,0,0,0,8,315,19,80,0,1,0,0,0,0,0
MAHARASHTRA,11,246,29,122,4,2,0,0,2,5,257,8,192,18,76,0,0,0,0,0,3,174,19,438,47,198,4,2,0,0,2,8,431
MANIPUR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEGHALAYA,0,17,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,21,0,1,0,0,0,0,1,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORISSA,12,29,4,3,0,0,5,0,11,1,0,1,0,0,8,0,0,0,0,0,5,0,13,29,4,11,0,0,5,0,11,6,0
PUNJAB,3,73,12,54,0,0,0,0,3,0,0,9,11,13,36,0,0,0,0,1,2,0,12,84,25,90,0,0,0,0,4,2,0
RAJASTHAN,6,124,23,81,0,0,1,0,2,2,0,11,88,0,48,0,0,0,0,0,0,0,17,212,23,129,0,0,1,0,2,2,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2,30,5,16,0,0,0,0,0,1,0,1,36,0,2,0,0,0,0,0,0,0,3,66,5,18,0,0,0,0,0,1,0
TRIPURA,0,8,0,6,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0
UTTAR PRADESH,3,75,71,159,1,3,17,2,12,26,0,68,91,14,26,1,0,0,0,0,2,0,71,166,85,185,2,3,17,2,12,28,0
UTTARAKHAND,0,5,0,16,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,3,6,0,16,0,0,0,0,1,1,0
WEST BENGAL,21,112,27,37,3,0,0,0,0,9,0,14,101,25,51,0,0,0,0,1,3,0,35,213,52,88,3,0,0,0,1,12,0
A & N ISLANDS,0,17,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0
CHANDIGARH,0,0,7,2,0,0,0,0,0,0,0,0,30,0,2,0,0,1,0,0,0,0,0,30,7,4,0,0,1,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DELHI,0,60,39,20,0,0,0,0,2,10,0,0,38,28,7,0,1,0,1,0,1,0,0,98,67,27,0,1,0,1,2,11,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,0,2,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0
